Close,Open,High,Low,Date,Volume,Daily return,Mean of daily returns,Daily return daviations,Square of deviations,Varianca of daily returns,Daily votality,Price Movement,Target
113.64,109.11,114.59,107.52,04/01/2023,180388976,5.124884366,0.24,-4.88,23.8397599,11.55110212,3.398691236,4.15177344,1
110.34,110.51,111.75,107.16,05/01/2023,157986324,-2.903907075,0.23,3.13,9.820513593,11.51983327,3.394087988,-0.153832232,0
113.06,103,114.39,101.81,06/01/2023,220911051,2.465107848,0.24,-2.23,4.960645874,11.52416827,3.394726538,9.766990291,1
119.77,118.96,123.52,117.11,09/01/2023,190283951,5.934901822,0.23,-5.7,32.52125503,11.54095477,3.397198077,0.680901143,1
118.85,121.07,122.76,114.92,10/01/2023,167642485,-0.768138933,0.22,0.99,0.971559802,11.48715913,3.38927118,-1.833649955,0
123.22,122.09,125.95,120.51,11/01/2023,183810771,3.67690366,0.22,-3.46,11.94968323,11.51419152,3.393256772,0.925546728,1
123.56,122.56,124.13,117,12/01/2023,169400913,0.275929232,0.21,-0.06,0.004194676,11.51306912,3.393091381,0.815926893,1
122.4,116.55,122.63,115.6,13/01/2023,180714119,-0.938815151,0.21,1.15,1.322064669,11.54280781,3.397470796,5.019305019,1
131.49,125.7,131.7,125.02,17/01/2023,186476985,7.426470588,0.21,-7.21,52.02010208,11.56928642,3.401365376,4.606205251,1
128.78,136.56,136.68,127.01,18/01/2023,195680318,-2.060993231,0.2,2.26,5.090591045,11.46421937,3.385885315,-5.697129467,0
127.17,127.26,129.99,124.31,19/01/2023,170291880,-1.25019413,0.2,1.45,2.106301662,11.48081736,3.388335485,-0.070721358,0
133.42,128.68,133.51,127.35,20/01/2023,138858136,4.914681135,0.2,-4.71,22.18198636,11.5052939,3.391945445,3.683556108,1
143.75,135.87,145.38,134.27,23/01/2023,203119211,7.742467396,0.19,-7.55,57.00085613,11.47734444,3.387822965,5.799661441,1
143.89,143,146.5,141.1,24/01/2023,158699056,0.097391304,0.17,0.08,0.005680482,11.35786016,3.370142454,0.622377622,1
144.43,141.91,146.41,138.07,25/01/2023,192734347,0.375286677,0.17,-0.2,0.040936645,11.38773432,3.374571724,1.775773377,1
160.27,159.97,161.42,154.76,26/01/2023,234815090,10.96725057,0.17,-10.79,116.5282641,11.4176731,3.37900475,0.187535163,1
177.9,162.43,180.68,161.17,27/01/2023,306590613,11.00018718,0.14,-10.86,117.8596873,11.13960275,3.337604343,9.52410269,1
166.66,178.05,179.77,166.5,30/01/2023,230878807,-6.318156268,0.12,6.43,41.38640564,10.8565256,3.294924218,-6.397079472,0
173.22,164.57,174.3,162.78,31/01/2023,196813541,3.936157446,0.13,-3.8,14.4702439,10.77532911,3.282579643,5.256122015,1
181.41,173.89,183.81,169.93,01/02/2023,213806323,4.728091444,0.12,-4.61,21.21574558,10.76547601,3.281078483,4.324573006,1
188.27,187.33,196.75,182.61,02/02/2023,217448287,3.781489444,0.11,-3.67,13.48188738,10.73753411,3.276817681,0.501788288,1
189.98,183.95,199,183.69,03/02/2023,232662023,0.908270038,0.1,-0.81,0.65349997,10.7301766,3.275694826,3.278064691,1
194.76,193.01,198.17,189.92,06/02/2023,186188131,2.516054322,0.1,-2.42,5.84842076,10.75726444,3.279826891,0.906688773,1
196.81,196.43,197.5,189.55,07/02/2023,186010325,1.052577531,0.09,-0.96,0.924275559,10.77049582,3.281843357,0.193453139,1
201.29,196.1,203,194.31,08/02/2023,180673644,2.276307098,0.09,-2.19,4.786120703,10.79710723,3.285895194,2.646608873,1
207.32,207.78,214,204.77,09/02/2023,215431442,2.995677878,0.08,-2.91,8.4856855,10.81339716,3.288373027,-0.221388007,0
196.89,202.23,206.2,192.89,10/02/2023,204754129,-5.030870152,0.07,5.11,26.06727612,10.81972247,3.289334654,-2.640557781,0
194.64,194.42,196.3,187.61,13/02/2023,172475452,-1.142770075,0.09,1.23,1.516404798,10.778176,3.28301325,0.113157083,1
209.25,191.94,209.82,189.44,14/02/2023,216455708,7.506165228,0.09,-7.41,54.96957375,10.80348138,3.286864978,9.018443264,1
214.24,211.76,214.66,206.11,15/02/2023,182108581,2.384707288,0.07,-2.31,5.349976665,10.68247839,3.268406093,1.171137136,1
202.04,210.78,217.65,201.84,16/02/2023,229586538,-5.69454817,0.07,5.76,33.17644111,10.69712812,3.270646438,-4.146503463,0
208.31,199.99,208.44,197.5,17/02/2023,213738549,3.103345872,0.08,-3.02,9.13325251,10.63520164,3.261165687,4.16020801,1
197.37,204.99,209.71,197.22,21/02/2023,180018588,-5.2517882,0.07,5.32,28.35198819,10.63935067,3.261801752,-3.7172545,0
200.86,197.93,201.99,191.78,22/02/2023,191828457,1.768252521,0.09,-1.68,2.824525497,10.59028519,3.254271838,1.480321326,1
202.07,203.91,205.14,196.33,23/02/2023,146359950,0.602409639,0.08,-0.52,0.269836625,10.61185675,3.257584496,-0.902358884,0
196.88,196.33,197.67,192.8,24/02/2023,142228105,-2.568416885,0.08,2.65,7.022084246,10.6406646,3.262003158,0.28014058,1
207.63,202.03,209.42,201.26,27/02/2023,161028315,5.460178789,0.09,-5.37,28.85056402,10.65077237,3.263552109,2.771865565,1
205.71,210.59,211.23,203.75,28/02/2023,153144912,-0.924721861,0.07,1,0.99716794,10.59979256,3.255732262,-2.317299017,0
202.77,206.21,207.2,198.52,01/03/2023,156852790,-1.429196442,0.08,1.51,2.267622034,10.62676623,3.259872118,-1.668202318,0
190.9,186.74,193.75,186.01,02/03/2023,181979154,-5.853923164,0.08,5.93,35.2222207,10.65031311,3.263481747,2.227696262,1
197.79,194.8,200.48,192.88,03/03/2023,154193277,3.609219487,0.1,-3.51,12.33095845,10.58090094,3.252829682,1.534907598,1
193.81,198.54,198.6,192.3,06/03/2023,128100106,-2.012235199,0.09,2.1,4.409834163,10.57594327,3.252067538,-2.382391458,0
187.71,191.38,194.2,186.1,07/03/2023,148125790,-3.147412414,0.09,3.24,10.50475207,10.59346063,3.254759688,-1.917650747,0
182,185.04,186.5,180,08/03/2023,151897763,-3.041926376,0.1,3.14,9.890090337,10.59371336,3.254798513,-1.642888024,0
172.92,180.25,185.18,172.51,09/03/2023,170023794,-4.989010989,0.11,5.1,26.01939815,10.59572371,3.255107327,-4.066574202,0
173.44,175.13,178.29,168.44,10/03/2023,191488872,0.300717095,0.13,-0.17,0.03034249,10.5515298,3.248311839,-0.96499743,0
174.48,167.46,177.35,163.91,13/03/2023,167790256,0.599630996,0.13,-0.47,0.224302084,10.5817631,3.252962203,4.192045862,1
183.26,177.31,183.8,177.14,14/03/2023,143717897,5.032095369,0.12,-4.91,24.08291474,10.61161169,3.257546882,3.355704698,1
180.45,180.8,182.34,176.03,15/03/2023,145995583,-1.533340609,0.11,1.64,2.702137623,10.57267729,3.251565359,-0.193584071,0
184.13,180.37,185.81,178.84,16/03/2023,121374453,2.039346079,0.12,-1.92,3.70217619,10.59549044,3.255071496,2.08460387,1
180.13,184.52,186.22,177.33,17/03/2023,133197140,-2.172378211,0.11,2.28,5.207647083,10.61552915,3.258148116,-2.379145892,0
183.25,178.08,186.44,176.35,20/03/2023,129684359,1.732082385,0.12,-1.62,2.610746585,10.63129557,3.260566756,2.903189578,1
197.58,188.28,198,188.04,21/03/2023,153391444,7.819918145,0.11,-7.71,59.41851715,10.65474747,3.264161066,4.93945188,1
191.15,199.3,200.66,190.95,22/03/2023,150376373,-3.254377973,0.09,3.34,11.17799097,10.51174521,3.242182168,-4.089312594,0
192.22,195.26,199.31,188.65,23/03/2023,144193876,0.559769814,0.1,-0.46,0.212487941,10.50978566,3.241879958,-1.556898494,0
190.41,191.65,192.36,187.15,24/03/2023,116531584,-0.941629383,0.1,1.04,1.079677433,10.54016117,3.246561438,-0.647012784,0
191.81,194.42,197.39,189.94,27/03/2023,120851587,0.735255501,0.1,-0.63,0.402889053,10.56815077,3.250869233,-1.34245448,0
189.19,192,192.35,185.43,28/03/2023,98654635,-1.36593504,0.1,1.46,2.144970071,10.59831475,3.255505299,-1.463541667,0
193.88,193.13,195.29,189.44,29/03/2023,123660026,2.478989376,0.1,-2.38,5.645347192,10.62347351,3.259367042,0.38833946,1
195.28,195.58,197.33,194.42,30/03/2023,110252238,0.722096142,0.1,-0.63,0.392117953,10.63833359,3.261645841,-0.153389917,0
207.46,197.53,207.79,197.2,31/03/2023,170222118,6.23719787,0.09,-6.14,37.73853496,10.66901089,3.266345188,5.027084493,1
194.77,199.91,202.69,192.2,03/04/2023,169545900,-6.116841801,0.08,6.19,38.34608939,10.58772102,3.253877844,-2.571157021,0
192.58,197.32,198.74,190.32,04/04/2023,126463845,-1.124403142,0.09,1.22,1.485071622,10.50411148,3.241004702,-2.402189337,0
185.52,190.52,190.68,183.76,05/04/2023,133882493,-3.666008931,0.1,3.76,14.16711344,10.53135933,3.245205592,-2.624396389,0
185.06,183.08,186.39,179.74,06/04/2023,123857932,-0.247951703,0.11,0.36,0.127642719,10.5203419,3.243507653,1.081494429,1
184.51,179.94,185.1,176.11,10/04/2023,142154637,-0.297200908,0.11,0.41,0.166142934,10.55193065,3.248373539,2.539735467,1
186.79,186.69,189.19,185.65,11/04/2023,115770892,1.235705382,0.11,-1.12,1.26350468,10.58359464,3.25324371,0.053564733,1
180.54,190.74,191.58,180.31,12/04/2023,150256278,-3.346003533,0.11,3.45,11.93159567,10.61209644,3.257621286,-5.347593583,0
185.9,182.96,186.5,180.94,13/04/2023,112932985,2.968871164,0.12,-2.85,8.122869125,10.6080489,3.256999984,1.606908614,1
185,183.95,186.28,182.01,14/04/2023,96438664,-0.484131253,0.11,0.59,0.353035885,10.6156956,3.258173661,0.570807285,1
187.04,186.32,189.69,182.69,17/04/2023,116662189,1.102702703,0.11,-0.99,0.981747802,10.64737048,3.263030873,0.386431945,1
184.31,187.15,187.69,183.58,18/04/2023,92067016,-1.459580838,0.11,1.57,2.459828611,10.67729501,3.267613044,-1.517499332,0
180.59,179.1,183.5,177.65,19/04/2023,125732687,-2.018338669,0.11,2.13,4.545478001,10.70281509,3.271515718,0.831937465,1
162.99,166.17,169.7,160.56,20/04/2023,210970819,-9.745833103,0.12,9.87,97.34089377,10.72199683,3.274446033,-1.913702834,0
165.08,164.8,166,161.32,21/04/2023,123538954,1.282287257,0.15,-1.13,1.279477161,10.45131277,3.232849018,0.169902913,1
162.55,164.65,165.65,158.61,24/04/2023,140006559,-1.532590259,0.15,1.68,2.823044692,10.48006461,3.23729279,-1.275432736,0
160.67,159.82,163.47,158.75,25/04/2023,121999312,-1.15656721,0.15,1.31,1.714665679,10.50414329,3.241009609,0.531848329,1
153.75,160.29,160.67,153.14,26/04/2023,153364142,-4.306964586,0.16,4.46,19.92712258,10.53187035,3.245284324,-4.08010481,0
160.19,152.64,160.48,152.37,27/04/2023,127015177,4.188617886,0.17,-4.02,16.1401084,10.50213854,3.240700316,4.946278826,1
164.31,160.9,165,157.32,28/04/2023,122515812,2.571945814,0.16,-2.41,5.825258329,10.48424022,3.237937649,2.119328776,1
161.83,163.17,163.28,158.83,01/05/2023,109015048,-1.509342097,0.15,1.66,2.755746844,10.49907774,3.240228038,-0.821229393,0
160.31,161.88,165.49,158.93,02/05/2023,128259744,-0.939257245,0.16,1.1,1.199601112,10.52381682,3.244043282,-0.969854213,0
160.61,160.01,165,159.91,03/05/2023,119727972,0.187137421,0.16,-0.03,0.000762929,10.55370212,3.248646199,0.374976564,1
161.2,162.71,162.95,159.65,04/05/2023,95108492,0.36734948,0.16,-0.21,0.043231578,10.5876344,3.253864534,-0.928031467,0
170.06,163.97,170.79,163.51,05/05/2023,107607259,5.496277916,0.16,-5.34,28.48913256,10.62164861,3.259087082,3.714094042,1
171.79,173.72,173.8,169.19,08/05/2023,112249449,1.017288016,0.14,-0.88,0.767034102,10.56382503,3.250203845,-1.110983191,0
169.15,168.95,169.82,166.56,09/05/2023,88965043,-1.536759998,0.14,1.68,2.806964021,10.5956328,3.255093362,0.118378218,1
168.54,172.55,174.43,166.68,10/05/2023,119840693,-0.360626663,0.14,0.5,0.254745966,10.62100305,3.258988041,-2.323964068,0
172.08,168.7,173.57,166.79,11/05/2023,103889930,2.100391598,0.15,-1.95,3.820637796,10.65487971,3.264181323,2.003556609,1
167.98,176.07,177.38,167.23,12/05/2023,157849625,-2.382612738,0.14,2.52,6.360234222,10.67728706,3.267611828,-4.594763446,0
166.35,167.66,169.76,164.55,15/05/2023,105592510,-0.970353614,0.15,1.12,1.249895479,10.69148789,3.269784074,-0.781343195,0
166.52,165.65,169.52,164.35,16/05/2023,98288792,0.102194169,0.15,0.05,0.002413677,10.72264826,3.274545505,0.525203743,1
173.86,168.41,174.5,167.19,17/05/2023,125473558,4.407878933,0.15,-4.26,18.11688049,10.75814573,3.279961239,3.236149872,1
176.89,174.22,177.06,172.45,18/05/2023,109520332,1.742781548,0.14,-1.61,2.577425877,10.7336981,3.276232303,1.532545058,1
180.14,177.17,181.95,176.31,19/05/2023,136196668,1.837300017,0.13,-1.71,2.908069489,10.76088568,3.280378893,1.676356042,1
188.87,180.7,189.32,180.11,22/05/2023,132001430,4.846230709,0.13,-4.72,22.27783674,10.78714928,3.284379588,4.521306032,1
185.77,186.2,192.96,185.26,23/05/2023,156952130,-1.641340605,0.11,1.75,3.068776108,10.74858992,3.278504221,-0.230934479,0
182.9,182.23,184.22,178.22,24/05/2023,137605054,-1.544921139,0.12,1.66,2.759821604,10.77444788,3.282445412,0.367667234,1
184.47,186.54,186.78,180.58,25/05/2023,96870719,0.858392564,0.12,-0.74,0.542329469,10.80152432,3.286567255,-1.10968157,0
193.17,184.62,198.6,184.53,26/05/2023,162061496,4.716214019,0.12,-4.6,21.13009262,10.83630126,3.291853772,4.631134222,1
201.16,200.1,204.48,197.53,30/05/2023,128818746,4.136253041,0.1,-4.03,16.26042935,10.80128836,3.286531357,0.529735132,1
203.93,199.78,203.95,195.12,31/05/2023,150711736,1.377013323,0.09,-1.29,1.656227647,10.78265648,3.283695552,2.077285014,1
207.52,202.59,209.8,199.37,01/06/2023,148029931,1.760407983,0.09,-1.67,2.804777814,10.81391137,3.288451212,2.433486352,1
213.97,210.15,217.25,209.75,02/06/2023,164398372,3.108134156,0.08,-3.03,9.170167284,10.84143417,3.292633318,1.817749227,1
217.61,217.8,221.29,214.52,05/06/2023,151143052,1.701173062,0.07,-1.63,2.662475826,10.84719716,3.293508336,-0.087235996,0
221.31,216.14,221.91,212.53,06/06/2023,146911576,1.700289509,0.06,-1.64,2.678040543,10.87551799,3.297805026,2.391968169,1
224.57,228,230.83,223.2,07/06/2023,185710777,1.473046857,0.06,-1.41,2.001974619,10.90398146,3.302117723,-1.504385965,0
234.86,224.22,235.23,223.01,08/06/2023,164489739,4.582090217,0.05,-4.53,20.51079833,10.9349989,3.306810987,4.745339399,1
244.4,249.07,252.42,242.02,09/06/2023,200242371,4.06199438,0.04,-4.02,16.19760086,10.90151708,3.301744552,-1.874974907,0
249.83,247.94,250.97,244.59,12/06/2023,150740523,2.221767594,0.02,-2.2,4.833485864,10.88293433,3.298929271,0.762281197,1
258.71,253.51,259.68,251.34,13/06/2023,162384343,3.554417004,0.02,-3.54,12.52388179,10.90423521,3.302156146,2.051201136,1
256.79,260.17,261.57,250.5,14/06/2023,170575536,-0.742143713,0,0.75,0.555242629,10.89851208,3.301289457,-1.299150555,0
255.9,248.4,258.95,247.29,15/06/2023,160171238,-0.346586705,0.01,0.35,0.124066959,10.93519034,3.306839932,3.019323671,1
260.54,258.92,263.6,257.21,16/06/2023,167915649,1.813208284,0.01,-1.81,3.262756168,10.97366409,3.312652123,0.625675884,1
274.45,261.5,274.75,261.12,20/06/2023,165611217,5.338911492,0,-5.34,28.49920228,11.00120304,3.316806151,4.952198853,1
259.46,275.13,276.99,257.78,21/06/2023,211797109,-5.461832756,-0.02,5.44,29.62783353,10.9384862,3.307338235,-5.695489405,0
264.61,250.77,265,248.25,22/06/2023,166875944,1.984891698,0,-1.98,3.936252982,10.87125833,3.29715913,5.519001475,1
256.6,259.29,262.45,252.8,23/06/2023,177460803,-3.027096482,-0.01,3.02,9.125392672,10.89629445,3.300953567,-1.037448417,0
241.05,250.07,258.37,240.7,26/06/2023,179990552,-6.060015588,0,6.06,36.7804723,10.90271076,3.301925312,-3.606990043,0
250.21,243.24,250.39,240.85,27/06/2023,164968214,3.800041485,0.03,-3.77,14.23789126,10.80860981,3.287645025,2.865482651,1
256.24,249.7,259.88,248.89,28/06/2023,159770797,2.40997562,0.01,-2.4,5.74569714,10.79609419,3.285741041,2.619142972,1
257.5,258.03,260.74,253.61,29/06/2023,131283360,0.491726506,0,-0.49,0.237704572,10.81459381,3.288554973,-0.205402473,0
261.77,260.6,264.45,259.89,30/06/2023,112620784,1.658252427,0,-1.66,2.741898637,10.85347943,3.294461933,0.448963929,1
279.82,276.49,284.25,275.11,03/07/2023,119685891,6.895366161,0,-6.9,47.59746889,10.88341146,3.299001586,1.204383522,1
282.48,278.82,283.85,277.6,05/07/2023,131530862,0.950611107,-0.03,-0.98,0.960182505,10.74743347,3.278327847,1.312674844,1
276.54,278.09,279.97,272.88,06/07/2023,120707419,-2.102803738,-0.03,2.07,4.284416083,10.78381731,3.283872303,-0.557373512,0
274.43,278.43,280.78,273.77,07/07/2023,113879174,-0.762999928,-0.03,0.74,0.544352887,10.8080688,3.287562745,-1.4366268,0
269.61,276.47,277.52,265.1,10/07/2023,119425405,-1.756367744,-0.02,1.73,3.006526648,10.84650969,3.293403966,-2.481281875,0
269.79,268.65,270.9,266.37,11/07/2023,91972358,0.066763102,-0.02,-0.08,0.006835723,10.87598331,3.297875575,0.424343942,1
